epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1618.54,0.63203,0.69211,1.00322,0.9855,0.66667,0.6798,0.61343,0.66566,1.94463,1.05306,0.000284594,0.000284594,0.000284594
135,1629.75,0.62597,0.69248,0.97924,0.98431,0.66667,0.67714,0.63783,0.56479,1.97143,0.97021,0.000280471,0.000280471,0.000280471
136,1640.92,0.50983,0.62839,0.93565,0.98369,0.66667,0.67935,0.59758,0.59377,1.981,0.94002,0.000276348,0.000276348,0.000276348
137,1652.03,0.6249,0.69104,1.00322,0.98445,0.66667,0.68499,0.58952,0.63414,2.01793,0.93684,0.000272224,0.000272224,0.000272224
138,1663.43,0.58752,0.65177,0.95893,0.98564,0.66667,0.68783,0.59197,0.64913,2.02261,0.93762,0.000268101,0.000268101,0.000268101
139,1674.39,0.60314,0.68522,0.97425,0.9865,0.66667,0.70055,0.5916,0.5881,2.0052,0.93607,0.000263978,0.000263978,0.000263978
140,1685.68,0.58432,0.65892,0.94439,0.98699,0.66667,0.69728,0.62051,0.51394,1.94036,0.93403,0.000259854,0.000259854,0.000259854
141,1696.7,0.50261,0.66716,0.95833,0.9876,0.66667,0.67527,0.63968,0.55428,1.8442,0.9593,0.000255731,0.000255731,0.000255731
142,1707.79,0.60288,0.68016,0.98234,0.98809,0.66667,0.75168,0.68118,0.68376,1.69445,1.01832,0.000251608,0.000251608,0.000251608
143,1718.88,0.55757,0.65624,0.94019,0.98783,0.66667,0.75179,0.68963,0.71802,1.56711,1.04337,0.000247484,0.000247484,0.000247484
144,1729.84,0.55836,0.61749,0.95182,0.98725,0.66667,0.75264,0.67378,0.69205,1.51749,1.0438,0.000243361,0.000243361,0.000243361
145,1740.96,0.54663,0.66238,0.95939,0.98656,0.66667,0.75224,0.67368,0.684,1.53006,1.04466,0.000239238,0.000239238,0.000239238
146,1752.12,0.54194,0.64464,0.9348,0.98613,0.66667,0.75377,0.65669,0.72594,1.69765,1.02408,0.000235114,0.000235114,0.000235114
147,1763.21,0.54736,0.64867,0.97103,0.98574,0.66667,0.75139,0.6399,0.73988,1.74943,0.99895,0.000230991,0.000230991,0.000230991
